free_text,label_id,source,url,category
Trẻ nguy kịch vì sặc thạch rau câu,0,dansinh_vi_tre_em,https://dansinh.dantri.com.vn/vi-tre-em/tre-nguy-kich-vi-sac-thach-rau-cau-20150119220641000.htm,vi-tre-em
Giúp con tránh bị béo phì,0,dansinh_vi_tre_em,https://dansinh.dantri.com.vn/vi-tre-em/giup-con-tranh-bi-beo-phi-20150115190030000.htm,vi-tre-em
Vĩnh Long: Gia tăng tình trạng xâm hại tình dục trẻ em,0,dansinh_vi_tre_em,https://dansinh.dantri.com.vn/vi-tre-em/vinh-long-gia-tang-tinh-trang-xam-hai-tinh-duc-tre-em-20150113171403000.htm,vi-tre-em
Xử trí khi trẻ ăn vạ,0,dansinh_vi_tre_em,https://dansinh.dantri.com.vn/vi-tre-em/xu-tri-khi-tre-an-va-20150106205748000.htm,vi-tre-em
"TP. Hồ Chí Minh: Phụ nữ kết hôn muộn, đẻ ít",0,dansinh_vi_tre_em,https://dansinh.dantri.com.vn/vi-tre-em/tp-ho-chi-minh-phu-nu-ket-hon-muon-de-it-20141229143936000.htm,vi-tre-em
Những mảnh đời trôi nổi,0,dansinh_vi_tre_em,https://dansinh.dantri.com.vn/vi-tre-em/nhung-manh-doi-troi-noi-20141226224522000.htm,vi-tre-em
Chuyện ít biết về những “cánh bướm đêm” giữa lòng Thủ đô,0,dansinh_vi_tre_em,https://dansinh.dantri.com.vn/vi-tre-em/chuyen-it-biet-ve-nhung-canh-buom-dem-giua-long-thu-do-20141226184303000.htm,vi-tre-em
Bi hài chuyện đặt tên con theo phim Hàn,0,dansinh_vi_tre_em,https://dansinh.dantri.com.vn/vi-tre-em/bi-hai-chuyen-dat-ten-con-theo-phim-han-20141225003447000.htm,vi-tre-em
Phương pháp chuẩn nuôi con thông minh,0,dansinh_vi_tre_em,https://dansinh.dantri.com.vn/vi-tre-em/phuong-phap-chuan-nuoi-con-thong-minh-20150212001158000.htm,vi-tre-em
"Độc đáo, hấp dẫn những bức tranh làm bằng cánh hoa khô",0,dansinh_vi_tre_em,https://dansinh.dantri.com.vn/vi-tre-em/doc-dao-hap-dan-nhung-buc-tranh-lam-bang-canh-hoa-kho-20150207184152000.htm,vi-tre-em
Kiến nghị tăng tuổi trẻ em từ dưới 16 tuổi lên dưới 18 tuổi,0,dansinh_vi_tre_em,https://dansinh.dantri.com.vn/vi-tre-em/kien-nghi-tang-tuoi-tre-em-tu-duoi-16-tuoi-len-duoi-18-tuoi-20150201163420000.htm,vi-tre-em
Gần 60 tỷ đồng giúp trẻ em khó khăn,0,dansinh_vi_tre_em,https://dansinh.dantri.com.vn/vi-tre-em/gan-60-ty-dong-giup-tre-em-kho-khan-20150129223104000.htm,vi-tre-em
Trung Quốc: Cảnh báo về sức khỏe đối với phụ nữ,0,dansinh_vi_tre_em,https://dansinh.dantri.com.vn/vi-tre-em/trung-quoc-canh-bao-ve-suc-khoe-doi-voi-phu-nu-20150308184719000.htm,vi-tre-em
"Hào hứng hội thi ""Công-Dung-Ngôn-Hạnh""",0,dansinh_vi_tre_em,https://dansinh.dantri.com.vn/vi-tre-em/hao-hung-hoi-thi-cong-dung-ngon-hanh-20150306232950000.htm,vi-tre-em
